"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","","3/26/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","3/25/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","3/25/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/25/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/25/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","3/26/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/26/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/26/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","3/26/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","1","BOTELLA","8.61","8.61","1.55","10.16","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","3/25/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/25/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","3/25/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/25/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","3/25/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","3/26/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","3/26/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/26/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","3/26/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","9.66","115.92","20.87","136.79","","3/26/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","5","BOTELLA","8.61","43.05","7.75","50.8","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","3/25/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/25/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","5","BOTELLA","9.66","48.3","8.69","56.99","","3/25/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","3/23/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/23/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","3/23/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","3/23/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/23/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","3/26/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","3/26/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/26/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/26/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/26/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","3/26/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","3/25/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/23/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","3/23/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","3/23/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","5","BOTELLA","8.61","43.05","7.75","50.8","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","15","BOTELLA","9.87","148.05","26.65","174.7","","3/25/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","3/25/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","","3/25/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","8","BOTELLA","9.66","77.28","13.91","91.19","","3/25/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","3/25/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","7","CAJA","96","672","120.96","792.96","","3/25/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","20","CAJA","96","1,920.00","345.6","2,265.60","S/2,265.60","3/26/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","16","160","28.8","188.8","S/543.39","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","12.5","37.5","6.75","44.25","","3/25/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","10","BOTELLA","12.4","124","22.32","146.32","","3/25/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","10.5","63","11.34","74.34","","3/25/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","8","BOTELLA","9.5","76","13.68","89.68","","3/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","60","BOTELLA","9.87","592.2","106.6","698.8","S/698.80","3/27/2024"
