"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","8/13/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/14/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","8/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","8/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/14/2024"
"","MAQUILA DE JARABE PARA TURRON BALDES  X 5 KG","70","BALDES","10.25","717.5","129.15","846.65","S/846.65","8/13/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","48","BOTELLA","9.87","473.76","85.28","559.04","S/559.04","8/15/2024"
"","RELLENO DE FRESA X 3 UNID X 5 KG","2","CAJA","135","270","48.6","318.6","S/535.72","8/15/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","92","184","33.12","217.12","","8/15/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","14","BOTELLA","16","224","40.32","264.32","S/521.32","8/19/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","12.5","50","9","59","","8/19/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","12","BOTELLA","12.4","148.8","26.78","175.58","","8/19/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","2","BOTELLA","9.5","19","3.42","22.42","","8/19/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","2","CAJA","80","160","28.8","188.8","S/364.38","8/21/2024"
"","PULPA DE FRESA X 8 UNID X 1 KG","1","CAJA","70.4","70.4","12.67","83.07","","8/21/2024"
"","PULPA DE PIÑA X 8 UNID X 1 KG","1","CAJA","78.4","78.4","14.11","92.51","","8/21/2024"
"","FRESA ENTERA CONGELADA X 6 UND X 1 KG","2","CAJA","51","102","18.36","120.36","S/574.19","8/21/2024"
"","PIÑA EN TROZOS CONGELADA X 6 UND X 1 KG","2","CAJA","52.8","105.6","19.01","124.61","","8/21/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","4","BALDE","46.5","186","33.48","219.48","","8/21/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","2","BALDE","46.5","93","16.74","109.74","","8/20/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","S/5,461.37","8/20/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","5","BOTELLA","9.66","48.3","8.69","56.99","","8/20/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/20/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","8/20/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/20/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/21/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/21/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","8/21/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","8/21/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/21/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","8/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/22/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","8/21/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/21/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","8/21/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","8/21/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","1","BOTELLA","9.66","9.66","1.74","11.4","","8/21/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","8/21/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","8/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","8/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","8/21/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/21/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","","8/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","1","BOTELLA","9.66","9.66","1.74","11.4","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","8/21/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","8/20/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/20/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/20/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/21/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","8/21/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/21/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/21/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/21/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/21/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/21/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","14.7","73.5","13.23","86.73","","8/21/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","8/21/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/22/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","8/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","8/22/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","7","CAJA","96","672","120.96","792.96","","8/22/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","S/453.12","8/21/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","S/4,082.19","8/27/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/27/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/27/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/27/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/27/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/28/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","8/28/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","10","BOTELLA","9.66","96.6","17.39","113.99","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","8/28/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/28/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","8/28/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","8/28/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/28/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","8/27/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/27/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","8/28/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","8/28/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/27/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","8/27/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","8/27/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","8/28/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","5","BOTELLA","9.66","48.3","8.69","56.99","","8/28/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","8/28/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","7","BOTELLA","14.7","102.9","18.52","121.42","","8/28/2024"
"","ARANDANO ENTERO CONGELADO X 6 UND X 1 KG","1","CAJA","90","90","16.2","106.2","S/325.68","8/28/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","4","BALDE","46.5","186","33.48","219.48","","8/28/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","24","BOTELLA","9","216","38.88","254.88","S/642.16","8/28/2024"
"","PULPA DE FRESA X 8 UNID X 1 KG","1","CAJA","70.4","70.4","12.67","83.07","","8/28/2024"
"","PULPA DE MANGO X 8 UNID X 1 KG","1","CAJA","86.4","86.4","15.55","101.95","","8/28/2024"
"","PULPA DE PIÑA X 8 UNID X 1 KG","1","CAJA","78.4","78.4","14.11","92.51","","8/28/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","2","BALDE","46.5","93","16.74","109.74","","8/28/2024"
"","MERMELADA DE FRESA TASKY X 20KG","2","BALDES","118","236","42.48","278.48","S/278.48","8/28/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","8","CAJA","88","704","126.72","830.72","S/830.72","9/2/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","2","CAJA","100","200","36","236","S/339.84","8/28/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","1","CAJA","88","88","15.84","103.84","","8/28/2024"
"","MAQUILA DE JARABE PARA TURRON BALDES  X 5 KG","105","BALDES","10.25","1,076.25","193.73","1,269.98","S/1,269.98","8/27/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","75","CAJA","80","6,000.00","1,080.00","7,080.00","S/7,080.00","9/6/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","4","CAJA","88","352","63.36","415.36","S/953.44","9/2/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","6","CAJA","76","456","82.08","538.08","","9/2/2024"
"","ARANDANO ENTERO CONGELADO X 6 UND X 1 KG","1","CAJA","90","90","16.2","106.2","S/380.55","9/4/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","5","BALDE","46.5","232.5","41.85","274.35","","9/4/2024"
"","COMPOTA DE FRESA BALDE X 4.8 KG","2","BALDE","46.5","93","16.74","109.74","S/204.14","9/4/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","1","CAJA","80","80","14.4","94.4","","9/4/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","S/2,824.71","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/4/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/5/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","9/5/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","9/5/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","9/5/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/5/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/3/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","9/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","9/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","9/5/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/5/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","9/4/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","9/4/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","9/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","9/4/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","9/4/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","9/4/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","9/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","9/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","9/4/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","9/4/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","9/4/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","9/4/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/4/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","S/279.52","9/5/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","8","CAJA","96","768","138.24","906.24","S/906.24","9/5/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","16","96","17.28","113.28","S/414.06","9/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","12.5","37.5","6.75","44.25","","9/4/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","12.4","74.4","13.39","87.79","","9/4/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","10","BOTELLA","10.5","105","18.9","123.9","","9/4/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","4","BOTELLA","9.5","38","6.84","44.84","","9/4/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","S/4,703.92","9/10/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","9/10/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","9/10/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","9/10/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","9/10/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/11/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","1","BOTELLA","8.61","8.61","1.55","10.16","","9/11/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","9/11/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","9/11/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","9/11/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","","9/11/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","9/11/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","9/11/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","9/11/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","9/11/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","8.61","51.66","9.3","60.96","","9/11/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","9/11/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","9/11/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","9/11/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","9/10/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","9/10/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","13","BOTELLA","9.87","128.31","23.1","151.41","","9/10/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","9/10/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","9/11/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","9/11/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/11/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","9/10/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","9/10/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","9/10/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","9/10/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","9/10/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","9/10/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","9/10/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","9/11/2024"
